Server_Id,Region,Cpu_Usage,Memory_Usage,Disk_Iops,Network_Latency_Ms,Temperature_C,Os_Version,Incident_Date,Downtime_Minutes
SRV-364,EU-West,60.87997788977061,55.53478435763672,3172.9911635565127,169.39983811088166,23.997057439704204,Windows,2023-05-02,115.85830675209196
SRV-482,EU-West,70.85446741845288,70.9938990421177,3255.388363851754,109.65147474607284,25.161625994091985,Linux,2023-07-17,93.5991476567766
SRV-27,US-East,53.32606528900452,55.7836968561875,2779.0513958024167,127.56621715387936,21.94035522686938,Windows,2023-07-17,106.28700336844894
SRV-16,US-East,80.19993503838094,68.33663070895764,4559.567899801595,146.03425853432702,28.71576373486685,Linux,2023-07-17,132.3342753219428
SRV-282,EU-West,60.66244679967217,66.12236047375725,3101.8005607944347,150.52726148240174,25.322029497957026,Linux,2023-07-17,105.51455431679128
SRV-337,EU-West,75.19534386219456,71.49953907842429,3347.7699091814816,179.61749035975296,26.652490552633683,Linux,2023-07-17,135.5988021114645
SRV-75,Asia-Pacific,47.31041441549473,52.16031196346504,2693.692806264476,101.1339752387172,26.49865103533542,Linux,2023-07-17,100.12005279168312
SRV-316,India-Central,46.32044991771316,51.02570803320008,2404.0039085186872,137.56855249266792,25.98104327282707,Linux,2023-07-17,97.91249824925367
SRV-147,EU-West,49.97127866704257,36.49924652467325,2458.349303401471,160.1409637622383,24.847301203175736,Windows,2024-09-04,99.81397092618847
SRV-385,Asia-Pacific,60.44450603987799,56.03905926662389,2894.0548365490545,99.68408810056246,25.59977466267816,Windows,2023-07-17,116.31091537821705
SRV-212,EU-West,51.203510325231136,49.918191538233366,2887.2117026148107,120.55736222059976,22.825171896029097,Windows,2023-07-17,96.0104617189984
SRV-175,EU-West,70.30780241797382,86.58579568319453,3180.8932701795866,129.2824753317269,26.88926459622856,Linux,2023-07-17,112.69369773529772
SRV-437,EU-West,72.00604497846871,57.28610698315965,3014.563272935444,154.31248458080069,29.4758793088419,Windows,2024-08-08,127.79120296389571
SRV-482,Asia-Pacific,60.59355278945902,56.43842221273467,3260.633826804393,123.62341936848884,23.476528746388777,Windows,2023-07-17,109.481893173317
SRV-309,EU-West,51.62213375177103,59.096325892863405,2405.708123986279,108.88353553785969,26.70706419735156,Linux,2023-07-17,87.3926924220456
SRV-388,EU-West,50.966232449563805,51.02345849834371,2606.919741505855,101.4600730258364,21.281459249448435,Linux,2023-07-17,69.9138135260332
SRV-285,US-East,78.84680881106897,97.59923904172996,4017.5038290504576,180.9186802649881,25.77077054716825,Windows,2023-01-28,168.7986210728281
SRV-66,US-East,62.36393734594986,77.15324189768226,3200.664769970784,106.97190315721372,27.27791218728888,Windows,2024-09-25,112.32712392594236
SRV-496,US-East,64.14655651003596,65.1994794962179,2997.548863286623,85.23587358025358,26.13518377341799,Windows,2024-03-16,105.2924709384778
SRV-222,Asia-Pacific,58.6463964379159,61.28759603305141,3219.171852563988,87.697541263853,24.95588055028141,Windows,2023-07-17,96.48742109377484
SRV-90,EU-West,64.97874252492102,81.96071297672142,3759.084611091857,174.3139087788568,28.48187557029176,Windows,2023-07-17,147.20068783112364
SRV-75,Asia-Pacific,55.55391116015605,54.4057138047724,2747.342544324575,140.57232588900013,24.419133513658466,Windows,2023-07-17,112.64300945958988
SRV-51,US-East,89.69373412517315,82.18829531540321,4031.587775434368,133.44632753894825,28.452069730144785,Windows,2023-07-17,154.95166217631257
SRV-200,Asia-Pacific,80.45690869822853,78.74088816363478,4009.863478223092,169.3777942581141,25.35439603064041,Windows,2024-01-01,151.33767528654252
SRV-342,Asia-Pacific,56.74219585786732,53.51952843006888,2647.153891083796,155.95175585846042,25.31629970003523,Windows,2023-07-17,131.93699747234683
SRV-305,US-East,62.13281480996367,49.22586892032415,3257.664404158157,86.80219456554707,32.780355826133246,Linux,2023-03-27,98.271604474878
SRV-240,EU-West,56.26073357112064,60.735576848844126,2821.4620636676104,104.5244803486903,22.952924119172224,Windows,2023-07-17,91.25295167725596
SRV-361,EU-West,48.43281552920418,40.19205491728827,2012.7119303861132,44.06640546043132,25.426558969019958,Linux,2023-12-01,57.042630809539936
SRV-84,Asia-Pacific,49.54030859043755,57.014802491803714,3043.1652480232515,126.6897637417163,24.836602555659525,Windows,2023-07-16,117.6956776249964
SRV-51,Asia-Pacific,82.37355702149439,62.93551464003403,4218.295587359447,106.17195874221132,24.418966465553364,Windows,2023-07-17,149.7713869548938
SRV-325,Asia-Pacific,79.08168628982389,73.37265514418816,3914.4357887845977,148.17374902553578,26.3244289657194,Windows,2023-07-17,158.17621538633225
SRV-74,India-Central,62.92585190223067,72.77628601078015,3307.354243903487,137.57344966471572,27.519273103460108,Linux,2023-07-17,148.34698541585257
